,Name,Country,Runs,Mins,BF,4s,6s,SR,POS,Dismissal,Inns,Opposition,Ground,Date
212,Mahela Jayawardena,Sri Lanka,51,159,120,9,0,42.50,4,caught,2,v Australia,Colombo (SSC),16 Sep 2011
213,Mahela Jayawardena,Sri Lanka,DNB,-,-,-,-,-,-,-,4,v Australia,Colombo (SSC),16 Sep 2011
214,Mahela Jayawardena,Sri Lanka,28,94,63,0,1,44.44,4,caught,1,v Pakistan,Abu Dhabi,18 Oct 2011
215,Mahela Jayawardena,Sri Lanka,4,10,7,1,0,57.14,4,bowled,3,v Pakistan,Abu Dhabi,18 Oct 2011
216,Mahela Jayawardena,Sri Lanka,6,3,4,1,0,150.00,4,caught,1,v Pakistan,Dubai (DSC),26 Oct 2011
217,Mahela Jayawardena,Sri Lanka,5,58,34,0,0,14.70,4,bowled,3,v Pakistan,Dubai (DSC),26 Oct 2011
218,Mahela Jayawardena,Sri Lanka,39,145,108,2,0,36.11,4,lbw,1,v Pakistan,Sharjah,3 Nov 2011
219,Mahela Jayawardena,Sri Lanka,20,60,30,2,0,66.66,4,lbw,3,v Pakistan,Sharjah,3 Nov 2011
220,Mahela Jayawardena,Sri Lanka,30,114,73,2,0,41.09,4,caught,1,v South Africa,Centurion,15 Dec 2011
221,Mahela Jayawardena,Sri Lanka,15,46,31,3,0,48.38,4,run out,3,v South Africa,Centurion,15 Dec 2011
222,Mahela Jayawardena,Sri Lanka,31,81,58,3,1,53.44,4,bowled,1,v South Africa,Durban,26 Dec 2011
223,Mahela Jayawardena,Sri Lanka,14,41,27,2,0,51.85,4,lbw,3,v South Africa,Durban,26 Dec 2011
224,Mahela Jayawardena,Sri Lanka,30,130,81,3,0,37.03,4,caught,2,v South Africa,Cape Town,3 Jan 2012
225,Mahela Jayawardena,Sri Lanka,12,37,21,0,1,57.14,4,caught,3,v South Africa,Cape Town,3 Jan 2012
226,Mahela Jayawardena,Sri Lanka,180,396,315,22,3,57.14,4,caught,1,v England,Galle,26 Mar 2012
227,Mahela Jayawardena,Sri Lanka,5,10,7,1,0,71.42,4,caught,3,v England,Galle,26 Mar 2012
228,Mahela Jayawardena,Sri Lanka,105,313,216,11,1,48.61,4,lbw,1,v England,Colombo (PSS),3 Apr 2012
